DC_NOME;SG_ESTADO;CD_SITUACAO;VL_LATITUDE;VL_LONGITUDE;VL_ALTITUDE;DT_INICIO_OPERACAO;CD_ESTACAO
LAGOA DA CONFUSAO;TO;Operante;-10,828286;-49,847882;178;14/11/2016;A055
LAGOA VERMELHA;RS;Operante;-28,222381;-51,512845;833,83;01/03/2007;A844
LARANJEIRAS DO SUL;PR;Pane;-25,36888888;-52,39194444;835;06/08/2016;B804
LENCOIS;BA;Operante;-12,557854;-41,388808;438,09;04/04/2008;A425
LINHARES;ES;Operante;-19,35694444;-40,0686111;40;26/10/2006;A614
LINS;SP;Operante;-21,66611111;-49,73472221;460,65;19/09/2006;A727
LUIZ EDUARDO MAGALHAES;BA;Operante;-12,1525;-45,82972221;760,68;17/04/2002;A404
LUZIANIA;GO;Operante;-16,26055555;-47,96694443;1000,82;20/10/2006;A012
Laguna  - Farol de Santa Marta;SC;Operante;-28,60444444;-48,81333333;34,36;31/05/2008;A866
MACAE;RJ;Operante;-22,3761111;-41,81194444;28;21/09/2006;A608
MACAJUBA;BA;Pane;-12,13166666;-40,35416666;338,85;02/02/2003;A412
MACAPA;AP;Operante;0,03499999;-51,08888888;16,62;11/12/2013;A249
MACAU;RN;Pane;-5,15111111;-36,57305554;17,37;05/01/2007;A317
MACEIO;AL;Operante;-9,55111111;-35,77027777;84,12;24/02/2003;A303
MACHADO;MG;Operante;-21,680722;-45,944389;969;20/07/2017;A567
MAJOR VIEIRA;SC;Operante;-26,3936111;-50,36333333;799,58;08/02/2009;A864
MAL, CANDIDO RONDON;PR;Operante;-24,53333333;-54,01916666;392,07;17/11/2006;A820
MANACAPURU;AM;Operante;-3,29472221;-60,62833332;36,57;09/04/2008;A119
MANAUS;AM;Operante;-3,10333333;-60,01638888;61,25;08/05/2000;A101
MANHUACU;MG;Operante;-20,26333333;-42,18277777;819,47;24/09/2010;A556
MANICORE;AM;Pane;-5,7886111;-61,28833333;40,64;11/12/2011;A133
MANTENA;MG;Operante;-18,78062;-40,986505;254,91;31/07/2007;A540
MARABA;PA;Pane;-5,36638888;-49,05111111;116,58;24/06/2009;A240
MARACAJU;MS;Pane;-21,60916666;-55,17749999;388,94;14/12/2006;A731
MARAU;BA;Operante;-13,90694444;-38,97222221;6,24;21/06/2008;A438
MARECHAL THAUMATURGO;AC;Pane;-8,95;-72,78666666;220,98;26/10/2009;A137
MARIA DA FE;MG;Operante;-22,314567;-45,373049;1281,43;30/11/2006;A531
MARIANOPOLIS DO TO;TO;Operante;-9,576389;-49,723333;186,69;23/11/2012;A041
MARILANDIA;ES;Operante;-19,407181;-40,539825;95;21/03/2017;A632
MARILIA;SP;Operante;-22,235222;-49,965111;660;14/05/2017;A763
